iter	Passed	Remaining
0	174	174716
1	185	92437
2	193	64449
3	200	50043
4	207	41302
5	212	35220
6	218	30980
7	223	27701
8	229	25284
9	250	24769
10	256	23077
11	263	21668
12	268	20379
13	273	19271
14	279	18369
15	285	17543
16	291	16876
17	298	16260
18	304	15701
19	310	15194
20	316	14742
21	321	14299
22	327	13905
23	333	13573
24	339	13244
25	345	12952
26	351	12655
27	357	12419
28	364	12193
29	370	11966
30	375	11734
31	381	11542
32	387	11342
33	392	11161
34	397	10971
35	402	10777
36	407	10617
37	413	10461
38	417	10297
39	422	10134
40	428	10014
41	433	9884
42	439	9770
43	444	9648
44	449	9545
45	455	9441
46	461	9351
47	466	9257
48	471	9154
49	477	9072
50	482	8979
51	487	8891
52	492	8804
53	498	8730
54	504	8664
55	509	8583
56	514	8506
57	519	8438
58	524	8369
59	530	8311
60	535	8249
61	541	8193
62	546	8128
63	551	8064
64	556	8006
65	561	7950
66	566	7895
67	571	7838
68	577	7785
69	582	7737
70	587	7685
71	592	7641
72	598	7600
73	603	7557
74	608	7505
75	614	7467
76	619	7423
77	624	7383
78	629	7337
79	634	7298
80	640	7266
81	646	7233
82	651	7197
83	656	7160
84	661	7125
85	667	7094
86	673	7066
87	679	7040
88	684	7008
89	691	6987
90	696	6960
91	702	6928
92	707	6904
93	713	6876
94	719	6855
95	725	6827
96	731	6807
97	743	6840
98	755	6877
99	764	6882
100	770	6856
101	779	6858
102	784	6830
103	789	6804
104	795	6778
105	801	6757
106	806	6732
107	811	6706
108	817	6684
109	822	6658
110	827	6630
111	833	6606
112	838	6581
113	843	6554
114	848	6526
115	853	6507
116	859	6484
117	864	6459
118	868	6430
119	873	6407
120	878	6383
121	884	6363
122	889	6344
123	894	6321
124	899	6295
125	904	6277
126	910	6259
127	915	6238
128	920	6214
129	925	6192
130	930	6172
131	935	6150
132	940	6130
133	946	6115
134	952	6105
135	959	6094
136	964	6077
137	969	6055
138	974	6036
139	979	6018
140	984	5995
141	989	5976
142	994	5957
143	998	5937
144	1004	5920
145	1009	5902
146	1013	5882
147	1018	5864
148	1023	5847
149	1028	5826
150	1032	5808
151	1038	5791
152	1042	5772
153	1047	5754
154	1052	5739
155	1057	5719
156	1061	5700
157	1066	5683
158	1071	5667
159	1075	5648
160	1081	5634
161	1086	5622
162	1091	5606
163	1097	5594
164	1102	5581
165	1108	5570
166	1114	5558
167	1120	5547
168	1125	5534
169	1129	5516
170	1135	5507
171	1141	5496
172	1147	5485
173	1152	5473
174	1158	5459
175	1163	5446
176	1168	5432
177	1173	5417
